maxColorValue;uniqueColorCount;withSameNodes;withoutSameNodes
21;22;181;269
21;22;181;269
21;22;180;270
21;22;180;270
21;22;180;270
21;22;179;271
21;22;179;271
21;22;178;272
21;22;178;272
21;22;178;272
21;22;178;272
21;22;177;273
21;22;177;273
22;23;176;274
22;23;176;274
22;23;176;274
22;23;176;274
22;23;175;275
22;23;175;275
22;23;174;276
22;23;174;276
22;23;174;276
22;23;174;276
22;23;174;276
22;23;174;276
22;23;174;276
22;23;174;276
22;23;173;277
22;23;173;277
22;23;173;277
22;23;173;277
22;23;172;278
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;171;279
22;23;170;280
22;23;170;280
22;23;170;280
22;23;169;281
22;23;168;282
22;23;168;282
22;23;168;282
22;23;167;283
22;23;167;283
22;23;167;283
22;23;166;284
22;23;166;284
22;23;166;284
22;23;165;285
22;23;164;286
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
22;23;163;287
23;24;162;288
23;24;162;288
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;161;289
23;24;160;290
23;24;160;290
23;24;160;290
23;24;160;290
23;24;159;291
23;24;159;291
23;24;159;291
23;24;159;291
23;24;158;292
23;24;158;292
23;24;158;292
23;24;158;292
23;24;157;293
23;24;157;293
23;24;156;294
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;155;295
23;24;154;296
23;24;154;296
23;24;154;296
23;24;154;296
23;24;153;297
23;24;152;298
23;24;151;299
23;24;151;299
23;24;151;299
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;150;300
23;24;149;301
23;24;148;302
23;24;148;302
23;24;147;303
23;24;147;303
23;24;146;304
23;24;146;304
23;24;145;305
23;24;145;305
23;24;144;306
23;24;143;307
24;25;142;308
24;25;142;308
24;25;142;308
24;25;142;308
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;141;309
24;25;140;310
24;25;139;311
24;25;138;312
24;25;138;312
24;25;137;313
24;25;136;314
24;25;136;314
24;25;136;314
24;25;135;315
24;25;134;316
24;25;134;316
24;25;133;317
24;25;133;317
24;25;132;318
24;25;132;318
24;25;132;318
24;25;132;318
24;25;132;318
24;25;131;319
24;25;131;319
24;25;131;319
24;25;130;320
24;25;130;320
24;25;130;320
24;25;129;321
24;25;129;321
24;25;129;321
24;25;129;321
24;25;129;321
24;25;128;322
24;25;128;322
24;25;128;322
24;25;127;323
24;25;126;324
24;25;126;324
24;25;126;324
24;25;125;325
24;25;125;325
24;25;125;325
24;25;125;325
24;25;125;325
24;25;125;325
24;25;125;325
24;25;124;326
24;25;124;326
24;25;123;327
24;25;123;327
24;25;123;327
24;25;123;327
24;25;123;327
24;25;123;327
24;25;123;327
24;25;122;328
24;25;121;329
24;25;121;329
24;25;121;329
24;25;120;330
24;25;119;331
24;25;119;331
24;25;119;331
24;25;119;331
24;25;119;331
24;25;118;332
24;25;118;332
24;25;118;332
24;25;117;333
24;25;117;333
24;25;116;334
24;25;116;334
24;25;115;335
24;25;115;335
24;25;115;335
24;25;115;335
24;25;115;335
24;25;114;336
24;25;114;336
24;25;114;336
24;25;113;337
24;25;113;337
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;112;338
24;25;111;339
24;25;111;339
24;25;111;339
24;25;110;340
25;26;109;341
25;26;109;341
25;26;109;341
25;26;109;341
25;26;109;341
25;26;109;341
25;26;108;342
25;26;108;342
25;26;108;342
25;26;108;342
25;26;107;343
25;26;106;344
25;26;105;345
25;26;105;345
25;26;105;345
25;26;104;346
25;26;104;346
25;26;103;347
25;26;103;347
25;26;103;347
25;26;102;348
25;26;102;348
25;26;101;349
25;26;101;349
25;26;101;349
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;100;350
25;26;99;351
25;26;99;351
25;26;99;351
25;26;99;351
25;26;99;351
25;26;98;352
25;26;98;352
25;26;97;353
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;96;354
25;26;95;355
25;26;95;355
25;26;95;355
25;26;95;355
25;26;94;356
25;26;94;356
25;26;94;356
25;26;94;356
25;26;93;357
25;26;93;357
25;26;92;358
25;26;92;358
25;26;92;358
25;26;92;358
25;26;92;358
25;26;92;358
25;26;92;358
25;26;92;358
25;26;91;359
25;26;90;360
25;26;90;360
25;26;90;360
25;26;90;360
25;26;90;360
25;26;90;360
25;26;90;360
25;26;89;361
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
